ID,Lane,Length,Netin,Netout,Loc,Dir,S_in,L_in,R_in,S_out,L_out,R_out,x0,y0,x1,y1
C12400401001,1,70,True,True,3,2,C12400094009,C12400009023,C12400006033,C12400401002,C12400009023,0,211188.786,548696.789,211213.636895,548760.998261
C12400401002,1,70,True,True,0,0,C12400401001,0,0,C12400401003,0,0,211213.636895,548760.998261,211238.48779,548825.207523
C12400401003,1,70,True,True,0,0,C12400401002,0,0,C12400401004,0,0,211238.48779,548825.207523,211263.338685,548889.416784
C12400401004,1,70,True,True,2,1,C12400401003,0,0,C12400122001,0,C12400105001,211263.338685,548889.416784,211303.4909,548993.1613
C12400106001,1,70,True,True,1,2,C12400096022,C12400100002,C12400099002,C12400106002,C12400100002,0,211938.3879,548602.7903,211878.958843,548639.623744
C12400106002,1,70,True,True,0,0,C12400106001,0,0,C12400106003,0,0,211878.958843,548639.623744,211819.529785,548676.457189
C12400106003,1,70,True,True,0,0,C12400106002,0,0,C12400106004,0,0,211819.529785,548676.457189,211760.100728,548713.290633
C12400106004,1,70,True,True,0,0,C12400106003,0,0,C12400106005,0,0,211760.100728,548713.290633,211700.671671,548750.124078
C12400106005,1,70,True,True,0,0,C12400106004,0,0,C12400106006,0,0,211700.671671,548750.124078,211641.242613,548786.957522
C12400106006,1,70,True,True,0,0,C12400106005,0,0,C12400106007,0,0,211641.242613,548786.957522,211581.813556,548823.790967
C12400106007,1,70,True,True,0,0,C12400106006,0,0,C12400106008,0,0,211581.813556,548823.790967,211522.384498,548860.624411
C12400106008,1,70,True,True,0,0,C12400106007,0,0,C12400106009,0,0,211522.384498,548860.624411,211462.955441,548897.457855
C12400106009,1,70,True,True,0,0,C12400106008,0,0,C124001060010,0,0,211462.955441,548897.457855,211403.526384,548934.2913
C124001060010,1,70,True,True,4,1,C12400106009,0,0,C12400116001,0,C12400122001,211403.526384,548934.2913,211300.8954,548997.9008
C12400105001,1,70,True,True,4,2,C12400115004,C12400121009,C12400401004,C12400105002,C12400121009,0,211294.0933,548988.0149,211353.52173,548951.180384
C12400105002,1,70,True,True,0,0,C12400105001,0,0,C12400105003,0,0,211353.52173,548951.180384,211412.95016,548914.345867
C12400105003,1,70,True,True,0,0,C12400105002,0,0,C12400105004,0,0,211412.95016,548914.345867,211472.378591,548877.511351
C12400105004,1,70,True,True,0,0,C12400105003,0,0,C12400105005,0,0,211472.378591,548877.511351,211531.807021,548840.676834
C12400105005,1,70,True,True,0,0,C12400105004,0,0,C12400105006,0,0,211531.807021,548840.676834,211591.235451,548803.842318
C12400105006,1,70,True,True,0,0,C12400105005,0,0,C12400105007,0,0,211591.235451,548803.842318,211650.663881,548767.007801
C12400105007,1,70,True,True,0,0,C12400105006,0,0,C12400105008,0,0,211650.663881,548767.007801,211710.092311,548730.173285
C12400105008,1,70,True,True,0,0,C12400105007,0,0,C12400105009,0,0,211710.092311,548730.173285,211769.520741,548693.338769
C12400105009,1,70,True,True,0,0,C12400105008,0,0,C124001050010,0,0,211769.520741,548693.338769,211828.949172,548656.504252
C124001050010,1,70,True,True,1,1,C12400105009,0,0,C12400095021,0,C12400119011,211828.949172,548656.504252,211932.1486,548592.5399
C12400002021,5,70,True,True,4,2,C12400003022,C12400101021,C12400082018,C12400002022,C12400101021,0,212246.4368,548275.9609,212315.451185,548266.845055
C12400002022,5,70,True,True,1,1,C12400002021,0,0,C12400002031,0,C12400087001,212315.451185,548266.845055,212436.3068,548250.8817
C12400001021,6,70,True,True,1,2,C12400001036,C12400088006,C12400380003,C12400001022,C12400088006,0,212436.4734,548262.8805,212367.459553,548271.987422
C12400001022,6,70,True,True,4,1,C12400001021,0,0,C12400004021,0,C12400102021,212367.459553,548271.987422,212249.5759,548287.5431
C12400380001,1,70,True,True,4,2,C12400095012,C12400101033,C12400102021,C12400380002,C12400101033,0,212279.2611,548395.1735,212330.009164,548347.886372
C12400380002,1,70,True,True,0,0,C12400380001,0,0,C12400380003,0,0,212330.009164,548347.886372,212380.757227,548300.599244
C12400380003,1,70,True,True,2,1,C12400380002,0,0,C12400087001,0,C12400001021,212380.757227,548300.599244,212431.7266,548253.1059
C12400381001,1,70,True,True,2,2,C12400088006,C12400002022,C12400001036,C12400381002,C12400002022,0,212441.0536,548260.6563,212390.276937,548307.916738
C12400381002,1,70,True,True,0,0,C12400381001,0,0,C12400381003,0,0,212390.276937,548307.916738,212339.500274,548355.177176
C12400381003,1,70,True,True,4,1,C12400381002,0,0,C12400096011,0,C12400102031,212339.500274,548355.177176,212285.5434,548405.3976
C12400119021,2,70,True,True,2,2,C32,0,C18,C12400119022,0,0,212134.2156,549070.5909,212105.561713,549007.490477
C12400119022,2,70,True,True,0,0,C12400119021,0,0,C12400119023,0,0,212105.561713,549007.490477,212076.907825,548944.390053
C12400119023,2,70,True,True,0,0,C12400119022,0,0,C12400119024,0,0,212076.907825,548944.390053,212048.253938,548881.28963
C12400119024,2,70,True,True,0,0,C12400119023,0,0,C12400119025,0,0,212048.253938,548881.28963,212019.600051,548818.189207
C12400119025,2,70,True,True,2,1,C12400119024,0,0,C12400119011,0,0,212019.600051,548818.189207,211978.3657,548727.3846
C12400120021,2,70,True,True,2,2,C12400120011,0,C12400392002,C12400120022,0,0,211989.5377,548723.0045,212017.917635,548786.287896
C12400120022,2,70,True,True,0,0,C12400120021,0,0,C12400120023,0,0,212017.917635,548786.287896,212046.297569,548849.571292
C12400120023,2,70,True,True,0,0,C12400120022,0,0,C12400120024,0,0,212046.297569,548849.571292,212074.677504,548912.854688
C12400120024,2,70,True,True,0,0,C12400120023,0,0,C12400120025,0,0,212074.677504,548912.854688,212103.057438,548976.138084
C12400120025,2,70,True,True,2,1,C12400120024,0,0,C41,0,0,212103.057438,548976.138084,212140.9659,549060.6688
C12400450001,1,70,True,True,1,2,C12400155011,C12400152003,C12400169003,C12400450002,C12400152003,0,211201.612,549833.327,211134.338131,549852.660527
C12400450002,1,70,True,True,0,0,C12400450001,0,0,C12400450003,0,0,211134.338131,549852.660527,211067.064261,549871.994053
C12400450003,1,70,True,True,0,0,C12400450002,0,0,C12400450004,0,0,211067.064261,549871.994053,210999.790392,549891.32758
C12400450004,1,70,True,True,3,1,C12400450003,0,0,0,0,C12400453001,210999.790392,549891.32758,210867.8793,549929.2369
C12400449001,1,70,True,True,3,2,0,C12400600004,C12400446004,C12400449002,C12400600004,0,210864.6322,549917.6845,210931.906149,549898.351246
C12400449002,1,70,True,True,0,0,C12400449001,0,0,C12400449003,0,0,210931.906149,549898.351246,210999.180099,549879.017992
C12400449003,1,70,True,True,0,0,C12400449002,0,0,C12400449004,0,0,210999.180099,549879.017992,211066.454048,549859.684738
C12400449004,1,70,True,True,1,1,C12400449003,0,0,C12400156011,0,C12400151001,211066.454048,549859.684738,211198.1139,549821.8482
C12400121001,1,70,True,True,2,2,C12400143004,C28,C12400131025,C12400121002,C28,0,211719.1511,549453.262,211673.550306,549404.377857
C12400121002,1,70,True,True,0,0,C12400121001,0,0,C12400121003,0,0,211673.550306,549404.377857,211627.949512,549355.493713
C12400121003,1,70,True,True,0,0,C12400121002,0,0,C12400121004,0,0,211627.949512,549355.493713,211582.348719,549306.60957
C12400121004,1,70,True,True,0,0,C12400121003,0,0,C12400121005,0,0,211582.348719,549306.60957,211536.747925,549257.725426
C12400121005,1,70,True,True,0,0,C12400121004,0,0,C12400121006,0,0,211536.747925,549257.725426,211491.147131,549208.841283
C12400121006,1,70,True,True,0,0,C12400121005,0,0,C12400121007,0,0,211491.147131,549208.841283,211445.546337,549159.95714
C12400121007,1,70,True,True,0,0,C12400121006,0,0,C12400121008,0,0,211445.546337,549159.95714,211399.945544,549111.072996
C12400121008,1,70,True,True,0,0,C12400121007,0,0,C12400121009,0,0,211399.945544,549111.072996,211354.34475,549062.188853
C12400121009,1,70,True,True,3,1,C12400121008,0,0,C12400402001,0,C12400116001,211354.34475,549062.188853,211294.7325,548998.2844
C12400122001,1,70,True,True,3,2,C12400401004,C12400115004,C124001060010,C12400122002,C12400115004,0,211300.2563,548987.6313,211345.902138,549036.505479
C12400122002,1,70,True,True,0,0,C12400122001,0,0,C12400122003,0,0,211345.902138,549036.505479,211391.547977,549085.379657
C12400122003,1,70,True,True,0,0,C12400122002,0,0,C12400122004,0,0,211391.547977,549085.379657,211437.193815,549134.253836
C12400122004,1,70,True,True,0,0,C12400122003,0,0,C12400122005,0,0,211437.193815,549134.253836,211482.839653,549183.128014
C12400122005,1,70,True,True,0,0,C12400122004,0,0,C12400122006,0,0,211482.839653,549183.128014,211528.485492,549232.002193
C12400122006,1,70,True,True,0,0,C12400122005,0,0,C12400122007,0,0,211528.485492,549232.002193,211574.13133,549280.876371
C12400122007,1,70,True,True,0,0,C12400122006,0,0,C12400122008,0,0,211574.13133,549280.876371,211619.777168,549329.75055
C12400122008,1,70,True,True,0,0,C12400122007,0,0,C12400122009,0,0,211619.777168,549329.75055,211665.423007,549378.624728
C12400122009,1,70,True,True,2,1,C12400122008,0,0,C12400144001,0,C11,211665.423007,549378.624728,211729.5704,549447.309
C12400143001,1,70,True,True,2,2,C124001810111,C12400138019,C12400161007,C12400143002,C12400138019,0,211891.304,549744.1401,211855.651437,549683.900036
C12400143002,1,70,True,True,0,0,C12400143001,0,0,C12400143003,0,0,211855.651437,549683.900036,211819.998873,549623.659971
C12400143003,1,70,True,True,0,0,C12400143002,0,0,C12400143004,0,0,211819.998873,549623.659971,211784.34631,549563.419907
C12400143004,1,70,True,True,3,1,C12400143003,0,0,C12400121001,0,C12400132021,211784.34631,549563.419907,211719.207,549453.3578
C12400144001,1,70,True,True,3,2,C12400122009,C12400131025,C28,C12400144002,C12400131025,0,211729.5145,549447.2133,211765.167075,549507.453358
C12400144002,1,70,True,True,0,0,C12400144001,0,0,C12400144003,0,0,211765.167075,549507.453358,211800.81965,549567.693415
C12400144003,1,70,True,True,0,0,C12400144002,0,0,C12400144004,0,0,211800.81965,549567.693415,211836.472226,549627.933473
C12400144004,1,70,True,True,2,1,C12400144003,0,0,C12400182011,0,C12400137011,211836.472226,549627.933473,211901.6491,549738.059
C12400156011,1,70,True,True,1,1,C12400449004,C12400169003,C12400152003,C12400155011,C12400169003,0,211198.3001,549821.7947,211323.9837,549790.652
C12400155011,1,70,True,True,1,2,C12400155023,C12400442004,0,C12400155021,C12400442004,0,211324.9802,549802.6106,211201.4258,549833.3805
C12400155021,1,70,True,True,3,2,C12400188024,C12400162007,C12400175003,C12400155022,C12400162007,0,211451.2909,549977.3445,211412.518343,549924.75679
C12400155022,1,70,True,True,0,0,C12400155021,0,0,C12400155023,0,0,211412.518343,549924.75679,211373.745786,549872.169079
C12400155023,1,70,True,True,2,1,C12400155022,0,0,C12400155011,0,0,211373.745786,549872.169079,211322.1184,549802.1462
C12400156021,1,70,True,True,2,2,C12400156011,0,C12400442004,C12400156022,0,0,211326.8454,549791.1164,211365.877597,549843.598509
C12400156022,1,70,True,True,0,0,C12400156021,0,0,C12400156023,0,0,211365.877597,549843.598509,211404.909794,549896.080618
C12400156023,1,70,True,True,3,1,C12400156022,0,0,C12400187021,0,C12400161001,211404.909794,549896.080618,211462.786,549973.9001
C12400126001,2,70,True,True,3,2,C12400112023,C124004200016,C12400116004,C12400126002,C124004200016,0,210995.6845,549090.1307,211014.952761,549157.426664
C12400126002,2,70,True,True,0,0,C12400126001,0,0,C12400126003,0,0,211014.952761,549157.426664,211034.221023,549224.722627
C12400126003,2,70,True,True,0,0,C12400126002,0,0,C12400126004,0,0,211034.221023,549224.722627,211053.489284,549292.018591
C12400126004,2,70,True,True,0,0,C12400126003,0,0,C12400126005,0,0,211053.489284,549292.018591,211072.757545,549359.314554
C12400126005,2,70,True,True,0,0,C12400126004,0,0,C12400126006,0,0,211072.757545,549359.314554,211092.025806,549426.610518
C12400126006,2,70,True,True,2,1,C12400126005,0,0,C12400152001,0,C12400131011,211092.025806,549426.610518,211129.4292,549557.2449
C12400125001,2,70,True,True,2,2,C12400151003,C12400132013,C12400139005,C12400125002,C12400132013,0,211117.8964,549560.5606,211098.628133,549493.264638
C12400125002,2,70,True,True,0,0,C12400125001,0,0,C12400125003,0,0,211098.628133,549493.264638,211079.359865,549425.968677
C12400125003,2,70,True,True,0,0,C12400125002,0,0,C12400125004,0,0,211079.359865,549425.968677,211060.091598,549358.672715
C12400125004,2,70,True,True,0,0,C12400125003,0,0,C12400125005,0,0,211060.091598,549358.672715,211040.82333,549291.376754
C12400125005,2,70,True,True,0,0,C12400125004,0,0,C12400125006,0,0,211040.82333,549291.376754,211021.555063,549224.080792
C12400125006,2,70,True,True,3,1,C12400125005,0,0,C12400111021,0,C12400419001,211021.555063,549224.080792,210984.1467,549093.4291
C12400116001,2,70,True,True,1,2,C124001060010,C12400401004,C12400121009,C12400116002,C12400401004,0,211298.7823,548998.818,211232.227113,549020.207097
C12400116002,2,70,True,True,0,0,C12400116001,0,0,C12400116003,0,0,211232.227113,549020.207097,211165.671926,549041.596193
C12400116003,2,70,True,True,0,0,C12400116002,0,0,C12400116004,0,0,211165.671926,549041.596193,211099.116739,549062.98529
C12400116004,2,70,True,True,4,1,C12400116003,0,0,C12400419001,0,C12400126001,211099.116739,549062.98529,210991.9101,549097.4387
C12400115001,2,70,True,True,4,2,C124004200016,C12400125006,C12400112023,C12400115002,C12400125006,0,210987.9212,549086.1211,211054.479284,549064.74217
C12400115002,2,70,True,True,0,0,C12400115001,0,0,C12400115003,0,0,211054.479284,549064.74217,211121.037367,549043.36324
C12400115003,2,70,True,True,0,0,C12400115002,0,0,C12400115004,0,0,211121.037367,549043.36324,211187.595451,549021.98431
C12400115004,2,70,True,True,1,1,C12400115003,0,0,C12400105001,0,C12400402001,211187.595451,549021.98431,211296.2064,548987.0977
C12400161001,1,70,True,True,4,2,C12400175003,C12400188024,C12400156023,C12400161002,C12400188024,0,211454.2149,549970.3282,211515.970619,549937.369937
C12400161002,1,70,True,True,0,0,C12400161001,0,0,C12400161003,0,0,211515.970619,549937.369937,211577.726338,549904.411674
C12400161003,1,70,True,True,0,0,C12400161002,0,0,C12400161004,0,0,211577.726338,549904.411674,211639.482057,549871.453411
C12400161004,1,70,True,True,0,0,C12400161003,0,0,C12400161005,0,0,211639.482057,549871.453411,211701.237776,549838.495148
C12400161005,1,70,True,True,0,0,C12400161004,0,0,C12400161006,0,0,211701.237776,549838.495148,211762.993496,549805.536886
C12400161006,1,70,True,True,0,0,C12400161005,0,0,C12400161007,0,0,211762.993496,549805.536886,211824.749215,549772.578623
C12400161007,1,70,True,True,1,1,C12400161006,0,0,C12400137011,0,C12400143001,211824.749215,549772.578623,211893.6493,549735.8075
C12400162001,1,70,True,True,1,2,C12400138019,C12400144004,C124001810111,C12400162002,C12400144004,0,211899.3038,549746.3917,211837.548084,549779.349968
C12400162002,1,70,True,True,0,0,C12400162001,0,0,C12400162003,0,0,211837.548084,549779.349968,211775.792367,549812.308237
C12400162003,1,70,True,True,0,0,C12400162002,0,0,C12400162004,0,0,211775.792367,549812.308237,211714.036651,549845.266505
C12400162004,1,70,True,True,0,0,C12400162003,0,0,C12400162005,0,0,211714.036651,549845.266505,211652.280935,549878.224774
C12400162005,1,70,True,True,0,0,C12400162004,0,0,C12400162006,0,0,211652.280935,549878.224774,211590.525219,549911.183042
C12400162006,1,70,True,True,0,0,C12400162005,0,0,C12400162007,0,0,211590.525219,549911.183042,211528.769502,549944.141311
C12400162007,1,70,True,True,4,1,C12400162006,0,0,C12400176001,0,C12400187021,211528.769502,549944.141311,211459.862,549980.9164
C12400187021,1,70,True,True,2,2,C12400156023,C12400175003,C12400162007,C12400187022,C12400175003,0,211462.8496,549974.1289,211433.239283,550023.895646
C12400187022,1,70,True,True,0,0,C12400187021,0,0,C12400187023,0,0,211433.239283,550023.895646,211403.628966,550073.662393
C12400187023,1,70,True,True,0,0,C12400187022,0,0,C12400187024,0,0,211403.628966,550073.662393,211374.018649,550123.429139
C12400187024,1,70,True,True,0,0,C12400187023,0,0,C12400187025,0,0,211374.018649,550123.429139,211344.408332,550173.195886
C12400187025,1,70,True,True,3,1,C12400187024,0,0,0,0,C12400204011,211344.408332,550173.195886,211311.9849,550227.6907
C12400188021,1,70,True,True,3,2,0,C12400203013,C12400186002,C12400188022,C12400203013,0,211308.8008,550216.1208,211338.283115,550166.646694
C12400188022,1,70,True,True,0,0,C12400188021,0,0,C12400188023,0,0,211338.283115,550166.646694,211367.765431,550117.172588
C12400188023,1,70,True,True,0,0,C12400188022,0,0,C12400188024,0,0,211367.765431,550117.172588,211397.247746,550067.698482
C12400188024,1,70,True,True,2,1,C12400188023,0,0,C12400155021,0,C12400176001,211397.247746,550067.698482,211451.2273,549977.1157
C12400406001,4,70,True,True,3,2,C12400008027,C12400109023,C124000840217,C12400406002,C12400109023,0,213470.6702,548748.3452,213532.909201,548780.340339
C12400406002,4,70,True,True,0,0,C12400406001,0,0,C12400406003,0,0,213532.909201,548780.340339,213595.148203,548812.335477
C12400406003,4,70,True,True,0,0,C12400406002,0,0,C12400406004,0,0,213595.148203,548812.335477,213657.387204,548844.330616
C12400406004,4,70,True,True,0,0,C12400406003,0,0,C12400406005,0,0,213657.387204,548844.330616,213719.626205,548876.325754
C12400406005,4,70,True,True,0,0,C12400406004,0,0,C12400406006,0,0,213719.626205,548876.325754,213781.865206,548908.320893
C12400406006,4,70,True,True,0,0,C12400406005,0,0,C12400406007,0,0,213781.865206,548908.320893,213844.104208,548940.316031
C12400406007,4,70,True,True,0,0,C12400406006,0,0,C12400406008,0,0,213844.104208,548940.316031,213906.343209,548972.31117
C12400406008,4,70,True,True,0,0,C12400406007,0,0,0,0,0,213906.343209,548972.31117,213986.2343,549013.3807
C12400407001,4,70,True,True,0,0,0,0,0,C12400407002,0,0,214002.9281,549039.7885,213940.885341,549007.394064
C12400407002,4,70,True,True,0,0,C12400407001,0,0,C12400407003,0,0,213940.885341,549007.394064,213878.842581,548974.999627
C12400407003,4,70,True,True,0,0,C12400407002,0,0,C12400407004,0,0,213878.842581,548974.999627,213816.799822,548942.605191
C12400407004,4,70,True,True,0,0,C12400407003,0,0,C12400407005,0,0,213816.799822,548942.605191,213754.757063,548910.210754
C12400407005,4,70,True,True,0,0,C12400407004,0,0,C12400407006,0,0,213754.757063,548910.210754,213692.714304,548877.816318
C12400407006,4,70,True,True,0,0,C12400407005,0,0,C12400407007,0,0,213692.714304,548877.816318,213630.671544,548845.421882
C12400407007,4,70,True,True,0,0,C12400407006,0,0,C12400407008,0,0,213630.671544,548845.421882,213568.628785,548813.027445
C12400407008,4,70,True,True,3,1,C12400407007,0,0,C12400007031,0,C12400110021,213568.628785,548813.027445,213464.9271,548758.8816
C12400103021,1,70,True,True,2,2,C12400127019,C12400114027,C12400117007,C12400103022,C12400114027,0,212986.3332,549028.0566,212969.411332,548960.132716
C12400103022,1,70,True,True,0,0,C12400103021,0,0,C12400103023,0,0,212969.411332,548960.132716,212952.489465,548892.208831
C12400103023,1,70,True,True,0,0,C12400103022,0,0,C12400103024,0,0,212952.489465,548892.208831,212935.567597,548824.284947
C12400103024,1,70,True,True,0,0,C12400103023,0,0,C12400103025,0,0,212935.567597,548824.284947,212918.645729,548756.361063
C12400103025,1,70,True,True,0,0,C12400103024,0,0,C12400103026,0,0,212918.645729,548756.361063,212901.723861,548688.437179
C12400103026,1,70,True,True,2,1,C12400103025,0,0,C12400103011,0,0,212901.723861,548688.437179,212876.5119,548587.2371
C12400104031,1,70,True,True,2,2,C12400104022,0,0,C12400104032,0,0,212888.1597,548584.3512,212905.081562,548652.275086
C12400104032,1,70,True,True,0,0,C12400104031,0,0,C12400104033,0,0,212905.081562,548652.275086,212922.003424,548720.198972
C12400104033,1,70,True,True,0,0,C12400104032,0,0,C12400104034,0,0,212922.003424,548720.198972,212938.925286,548788.122858
C12400104034,1,70,True,True,0,0,C12400104033,0,0,C12400104035,0,0,212938.925286,548788.122858,212955.847148,548856.046744
C12400104035,1,70,True,True,0,0,C12400104034,0,0,C12400104036,0,0,212955.847148,548856.046744,212972.76901,548923.97063
C12400104036,1,70,True,True,2,1,C12400104035,0,0,C12400128011,0,C12400113021,212972.76901,548923.97063,212997.9696,549025.1251
C12400157001,1,70,True,True,0,0,0,0,0,C12400157002,0,0,213482.9604,549972.643,213480.353777,549902.691392
C12400157002,1,70,True,True,0,0,C12400157001,0,0,C12400157003,0,0,213480.353777,549902.691392,213477.747153,549832.739784
C12400157003,1,70,True,True,0,0,C12400157002,0,0,C12400157004,0,0,213477.747153,549832.739784,213475.14053,549762.788177
C12400157004,1,70,True,True,2,1,C12400157003,0,0,0,0,C12400150021,213475.14053,549762.788177,213472.3386,549687.5953
C12400158001,1,70,True,True,2,2,0,C12400149014,C12400146004,C12400158002,C12400149014,0,213484.3303,549687.1484,213486.936922,549757.100008
C12400158002,1,70,True,True,0,0,C12400158001,0,0,C12400158003,0,0,213486.936922,549757.100008,213489.543545,549827.051616
C12400158003,1,70,True,True,0,0,C12400158002,0,0,C12400158004,0,0,213489.543545,549827.051616,213492.150167,549897.003224
C12400158004,1,70,True,True,0,0,C12400158003,0,0,0,0,0,213492.150167,549897.003224,213494.9521,549972.1962
C12400128011,1,70,True,True,3,2,C12400104036,C12400117007,C12400114027,C12400128012,C12400117007,0,212998.0442,549025.4617,213014.134961,549093.577156
C12400128012,1,70,True,True,0,0,C12400128011,0,0,C12400128013,0,0,213014.134961,549093.577156,213030.225722,549161.692612
C12400128013,1,70,True,True,0,0,C12400128012,0,0,C12400128014,0,0,213030.225722,549161.692612,213046.316484,549229.808068
C12400128014,1,70,True,True,0,0,C12400128013,0,0,C12400128015,0,0,213046.316484,549229.808068,213062.407245,549297.923524
C12400128015,1,70,True,True,0,0,C12400128014,0,0,C12400128016,0,0,213062.407245,549297.923524,213078.498006,549366.03898
C12400128016,1,70,True,True,0,0,C12400128015,0,0,C12400128017,0,0,213078.498006,549366.03898,213094.588767,549434.154436
C12400128017,1,70,True,True,0,0,C12400128016,0,0,C12400128018,0,0,213094.588767,549434.154436,213110.679529,549502.269892
C12400128018,1,70,True,True,0,0,C12400128017,0,0,C12400128019,0,0,213110.679529,549502.269892,213126.77029,549570.385348
C12400128019,1,70,True,True,1,1,C12400128018,0,0,C12400160021,0,C12400149011,213126.77029,549570.385348,213156.6662,549696.9408
