ID,NS1,NS2,NS3,NS4,EW1,EW2,EW3,EW4
2,0,0,0,0,267,245,248,546
3,568,271,276,565,284,268,545,281
4,562,279,277,563,288,283,282,285
5,0,572,569,0,292,287,286,290
6,578,293,295,579,100,291,289,103
7,0,307,306,0,310,99,104,311
8,584,0,0,581,316,309,312,313
9,590,301,304,591,322,315,314,323
10,0,585,588,0,318,321,324,319
11,328,331,334,329,344,317,320,345
12,362,233,236,359,352,343,346,353
13,358,603,606,355,348,351,354,349
14,222,217,216,219,0,347,350,0
15,156,221,220,159,0,609,608,0
16,612,357,356,613,610,0,0,607
17,616,611,614,617,620,361,360,621
18,164,155,160,167,72,501,504,69
19,508,619,622,505,510,625,624,511
20,12,615,618,13,626,9,8,623
21,432,327,330,429,10,409,412,7
22,416,0,0,413,410,395,400,411
23,408,589,592,403,396,363,368,399
24,0,583,582,0,364,371,376,367
25,0,577,580,0,372,379,384,375
26,628,561,564,1,380,249,252,383
27,436,431,430,433,14,427,426,11
28,420,415,414,417,428,423,422,425
29,52,599,602,49,54,165,639,55
30,34,627,2,35,4,53,56,5
31,392,407,404,387,424,3,6,421
32,16,391,388,17,446,0,0,447
33,92,77,80,89,518,525,532,521
34,540,443,442,535,526,455,454,531
35,452,419,418,449,438,445,448,439
36,444,435,434,441,0,437,440,0
37,0,451,450,0,456,15,18,453
38,38,33,36,39,631,465,468,629
39,476,0,0,473,466,469,472,467
40,482,51,50,483,470,463,462,471
41,478,481,484,479,44,29,32,41
42,0,475,474,0,46,43,42,47
43,490,477,480,491,486,493,496,487
44,67,45,48,65,60,485,488,57
45,110,37,40,111,108,59,58,105
46,118,547,544,119,116,549,554,113
47,558,85,82,559,126,115,114,127
48,84,0,0,87,122,125,128,123
49,576,171,176,573,0,121,124,0
50,172,163,168,175,0,513,516,0
51,266,0,0,365,464,0,0,461
52,264,265,366,369,30,0,0,31
53,258,263,370,381,460,0,0,457
54,256,257,382,385,0,0,0,0
55,498,489,492,499,66,0,0,68
56,0,0,0,0,550,107,106,553
57,548,539,536,543,0,0,0,0
58,78,507,506,79,0,0,0,0
59,0,0,0,0,502,509,512,503
60,234,341,340,235,0,0,0,0
61,218,641,644,215,0,605,604,0
62,630,0,0,632,646,645,647,648
